-1,0,1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76,81,86,91,96,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,321,341,361,381,401,421,441,461,481,501,531,561,591,621,651,681,711,741,771,801
0.46875,1,0.96,0.93,0.9,0.87,0.84,0.81,0.78,0.75,0.72,0.69,0.66,0.63,0.5,0.4,0.35,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11
0.5,1,0.97,0.94,0.91,0.88,0.85,0.81,0.78,0.75,0.72,0.69,0.65,0.62,0.5,0.4,0.35,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11
0.53125,1,0.98,0.95,0.92,0.89,0.85,0.82,0.79,0.75,0.72,0.69,0.65,0.62,0.59,0.4,0.35,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11
0.5625,1,0.99,0.96,0.92,0.89,0.85,0.82,0.78,0.75,0.71,0.68,0.64,0.61,0.57,0.4,0.35,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11
0.59375,1,1,0.97,0.93,0.9,0.86,0.82,0.79,0.75,0.72,0.68,0.64,0.61,0.57,0.54,0.5,0.35,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11
0.625,1,1,1,0.96,0.93,0.89,0.85,0.82,0.78,0.74,0.7,0.67,0.63,0.59,0.56,0.52,0.35,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11
0.65625,1,1,1,0.96,0.92,0.89,0.85,0.81,0.75,0.71,0.67,0.64,0.6,0.56,0.52,0.48,0.35,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11
0.6875,1,1,1,0.96,0.92,0.88,0.84,0.81,0.75,0.71,0.67,0.63,0.59,0.56,0.52,0.48,0.35,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1
0.71875,1,1,1,0.96,0.92,0.88,0.84,0.81,0.75,0.71,0.67,0.63,0.59,0.56,0.52,0.48,0.4,0.4,0.36,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1
0.75,1,1,1,0.96,0.92,0.88,0.84,0.81,0.75,0.7,0.69,0.65,0.61,0.57,0.53,0.49,0.4,0.4,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1
